,players
1081,Just Yuu and Mi
1082,Hot eBoy Xerath
1083,Amzer
1084,Paracha
1085,ShoDesu
1086,Klixx
1087,yu pian
1088,zhong guo
1089,Sarin
1090,MOB SIAB 
1091,GG HERMANO1
1092,Johnsquid
1093,LittleChimp
1094,AsteriskWaver
1095,Solodaboss
1096,ICarryMyAdCarry
1097,lIIIIIlIII
1098,path top
1099,no one but me
1100,I am Guts
1101,XXXHYPNOTICS
1102,Naffy
1103,Joyuming1
1104,Lee et al
1105,milqu
1106,Dimitrylol
1107,Reppy
1108,lnvent
1109,WarnedJacka
1110,Lemur
1111,BladeCube
1112,corgi dorgi
1113,rRooks
1114,Steam Sale
1115,NuzziG
1116,SUPPORT lS WEAK
1117,LittIe PP
1118,Aval0n
1119,Timescrollnom
1120,Good at Coping
1121,Gabyyz
1122,Juke Jouster
1123,BLACK TWITCH
1124,HappySupportGuy
1125,TiPinPin
1126,YaaYeet
1127,Stricken1297
1128,BPSN
1129,ttvEmadTheTurk
1130,chikorita fan
1131,Many
1132,Quirk
1133,mid is sup gap
1134,DrunkyRacoon
1135,Kang Sae Byeok1
1136,Houdini Brandini
1137,Yasuo is weak
1138,Mibuni
1139,nathan we miss u
1140,antownknee
1141,Lancrize 
1142,twtv itakute
1143,yukilove
1144,Winter
1145,SkooLuvAffair
1146,Greco OP
1147,SeattIe
1148,bryan3838
1149,oogaboogaeatrock
1150,Everblade
1151,BEN10 FAN 81
1152,Xiao Hun zii
1153,vincent nasty
1154,iKoogar
1155,TC porsche
1156,Hexsise
1157,Pour toujours
1158,MaleficTruth
1159,DL forever
1160,smoothjazzlover
1161,ID ToT
1162,legands
1163,ruan pa pa
1164,Heavenly Goddess
1165,daddy tartaglia 
1166,Sonny2o9
1167,jinx gf
1168,Kyui
1169,Matts Cat
1170,Laserholic
1171,MaIthaeI
1172,ggemi
1173,IronTissue
1174,Swiftzzz
1175,100 Kenvi
1176,2004 Lexus GX470
1177,TSH Sariel
1178,God Sai
1179,jiu yuji
1180,Cinnamon Bread
1181,Airflash
1182,wohenshengqi
1183,Uncle Dennis
1184,Piqueos
1185,Iinks
1186,ImNotVeryLegit
1187,YoungFartBubbles
1188,Sorcerer Swkeeee
1189,Shuvi
1190,SandvichTF2
1191,Sophist Sage
1192,PieckPerformance
1193,Blacc Massu
1194,SheGottaFatYas
1195,Yukiona
1196,insanityxd
1197,Yogurt
1198,A Little Yue
1199,doyeoniee
1200,Tacosrock
1201,Megami Eyla
1202,Yeetor
1203,LNG Tarzan Fan
1204,lp money machine
1205,Vortex03
1206,douyutv the bug
1207,Urason
1208,act0r
1209,Nami in heat
1210,Marulllll
1211,zxcvcvzxczqwe
1212,Subaru Natsuki
1213,handytaco
1214,lonely
1215,Dhokla
1216,Woozer
1217,Options
1218,TTizzle830
1219,Girlfriend
1220,jhlam killer
1221,einree
1222,TrapperOTY
1223,Lefasa
1224,adc
1225,Spurge
1226,kookykrook
1227,Sunbeh
1228,Kolthro
1229,BigLlama10
1230,Your wedding
1231,billy worth
1232,Zoe pIs
1233,Happyal
1234,OO9527
1235,Thua CMNR
1236,Avano
1237,Pekin Woof
1238,JDLBeast
1239,qufl
1240,DoughnutDrew
1241,Graves Virgin
1242,Thriven
1243,TFBlade4
1244,L9 WX Jason Pham
1245,be small
1246,Psycho Wand
1247,Ql Tian Da Sheng
1248,Fan Kun
1249,InvertedComposer
1250,Skippy Shadow
1251,Inumerable
1252,twinkerbelle
1253,Jerrel
1254,TopMattersXD
1255,Flaynndappy
1256,mawlok2
1257,Mdtiowe
1258,Taegon
1259,aSilverDragon
1260,Doctor Doom
1261,SkyTOKKI
1262,Thresh
1263,Forever Winter
1264,KiteAzure
1265,need happiness
1266,Tomato Kun
1267,KkkkCcccPrty
1268,Wero Teresa
1269,MEMEME670
1270,Of The Lethani
1271,Sayhoon
1272,Carita
1273,STRONGSIDE HERO
1274,troll acc 4
1275,waste it on mekk
1276,Your Tea
1277,Twitter ThiefJG
1278,Hyacintho
1279,KEITHMCGRIEF
1280,Cool Crabbie
1281,Enthralled
1282,aHowtoPlayDota2
1283,Chovy Dopa Faker
1284,9x jg wintrade
1285,Vasticious
1286,HJM
1287,lIllIIIllIlIlI
1288,Aloneus
1289,CIean Kev 
1290,LittIe hat
1291,DeOnlyVirus
1292,9 inch cigar
1293,VioletRoses
1294,Budded
1295,splash2
1296,DieCryLaugh
1297,Nice Bunz
1298,EnSaneZ
1299,Skylinee
1300,Kiting Baguette
1301,Playdark
1302,Fluoride
1303,Selenik
1304,1st Keklel
1305,The Exceed
1306,wx NAxiaotui7
1307,Mohanno
1308,CuddleSnuffles
1309,Pingky
1310,DeadlyTwitches
1311,Sea Dragon
1312,hao yun lai
1313,Le Kachu
1314,Zero Dark 30 23
1315,rkolde
1316,4inch is average
1317,Yoshiey
1318,Windoges
1319,Soonchang
1320,ANTHONY EVELYNN
1321,VBO Gates
1322,PastIsJustAGhost
1323,Lost Kin
1324,ryanrg
1325,Butter1
1326,Le Feiz
1327,gghfjdsbnnf
1328,Le Meep Meep
1329,Pas de Chance
1330,Busio3
1331,fairy girl
1332,EDG NBBBBB
1333,YellowNightmare
1334,YourAverageGril
1335,wangruiqi666
1336,ArcticBird
1337,QAZx
1338,Z1lla
1339,Innominat
1340,RoyaI Air
1341,Haruka Inokuma
1342,Kuhz
1343,IonQ
1344,Jintosu
1345,Cat1v9
1346,Ordinary Days
1347,Eisuke
1348,Aeger
1349,25z
1350,Koskinen
1351,Hakuho
1352,mbti INFP
1353,DARK WlNGS
1354,Minishcap1
1355,Jinsoul
1356,Sokiu
1357,HaaaZe
1358,Ba Bi Q le 
1359,Ikuaya
1360,Mimic v9
1361,ColdCottageKoala
1362,T0MMY SHELBY
1363,Wekin Poof
1364,Blitz
1365,Szochs
1366,Lebanese
1367,itwasthisoragf
1368,Corpse Draven
1369,xusty
1370,ULTRAMARATHON
1371,Albozz
1372,DimDot
1373,arcane hamz
1374,Lemonade28
1375,gerkahn1
1376,ooozz
1377,No Safe Word
1378,General Blessing
1379,Rising Above
1380,remmacs
1381,MrJimmyOG SnipeU
1382,KBDDDSSB
1383,hoidro
1384,EDG Jan Sali
1385,SSSean
1386,Iin an
1387,BlatantWintrader
1388,Gay Conservative
1389,Reach5
1390,C9 Emilia
1391,Forty
1392,Lulu WRLD
1393,HAYES
1394,Healys
1395,bye im gosu
1396,Get N Or Get Out
1397,Darcy
1398,Buddha
1399,AwakenedGenius
1400,Para Ti
1401,OveRate
1402,Exiled Lance
1403,Hypnagogic
1404,Tactical
1405,Joshua Bell
1406,gachapon
1407,LFT RCON
1408,Jokou
1409,TheEliteOkami
1410,Minatozaki
1411,O My Money
1412,gyu123987
1413,Fishcakess
1414,852 charm
1415,Keel7
1416,Spicy Cabbage
1417,zzlz2
1418,Fromherotozero
1419,Jim Cantore
1420,nemzje
1421,its time to lose
1422,GALA1
1423,Angelica
1424,Boon
1425,Surround
1426,Dinosaurus
1427,Kurulean
1428,JJ4
1429,meghanmarklefan1
1430,bakeryboy
1431,Shimmer
1432,Random Player
1433,Jerryberry
1434,CIyde
1435,bigfatjuicer
1436,Betty Cheeks
1437,Frei4
1438,Draven696969
1439,Queen Alma
1440,RyuShoryu
1441,ShadowAlkx
1442,Jay Kim
1443,Itsover man
1444,Kouumoto
1445,GodBranQc27
1446,bobqinXD
1447,QWQ QAQ
1448,gorilla emojis
1449,TL Armao
1450,Critas
1451,Pseudo
1452,Kryzlx
1453,StrangIe
1454,DrewDozer
1455,boLa iwnI
1456,Kyorez
1457,ShabaMoon
1458,Hello google
1459,Hesrew
1460,i stomp on men
1461,Ai Love You
